epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4904,1.19145,3.7986,1.29715,0.00615,0.59048,0.11844,0.08999,0.75229,3.54188,0.94901,0.0001111,0.0001111,0.0001111
2,50.1015,0.7475,3.25771,1.0047,0.01993,0.8,0.63569,0.53315,0.6717,3.3082,0.83218,0.000230423,0.000230423,0.000230423
3,75.1984,0.6471,2.51458,0.93446,0.01654,0.8,0.65117,0.59203,0.52683,3.26358,0.80695,0.000346721,0.000346721,0.000346721
4,99.3822,0.65803,1.88853,0.95611,0.04267,1,0.44649,0.38556,0.50463,3.14268,0.80538,0.000459994,0.000459994,0.000459994
5,123.619,0.61899,1.52955,0.92278,0.04532,1,0.84747,0.79692,0.44664,2.97474,0.82969,0.000570243,0.000570243,0.000570243
6,148.292,0.57451,1.29247,0.91228,0.03446,1,0.90681,0.84456,0.44137,2.74895,0.83439,0.000677467,0.000677467,0.000677467
7,172.378,0.54157,1.05682,0.8837,0.99529,0.26399,0.96493,0.91184,0.41231,2.4397,0.83511,0.000781666,0.000781666,0.000781666
8,196.576,0.53151,0.98536,0.88518,0.98278,0.6,0.995,0.95052,0.33579,1.98821,0.82904,0.000882841,0.000882841,0.000882841
9,220.948,0.49063,0.86731,0.86585,0.93651,0.8,0.995,0.92323,0.45514,1.4412,0.84372,0.000980991,0.000980991,0.000980991
10,245.138,0.46618,0.80155,0.85193,0.95973,1,0.995,0.96369,0.39987,1.27337,0.83894,0.000987262,0.000987262,0.000987262
11,269.336,0.47327,0.81465,0.86264,0.97791,1,0.995,0.91986,0.43143,1.0877,0.84386,0.000973514,0.000973514,0.000973514
12,293.889,0.43064,0.73984,0.85185,0.97586,1,0.995,0.93398,0.34646,1.07096,0.82253,0.000959765,0.000959765,0.000959765
13,318.893,0.44207,0.73428,0.84304,0.98547,1,0.995,0.96941,0.36276,0.953,0.82217,0.000946016,0.000946016,0.000946016
14,343.28,0.40993,0.70452,0.85037,0.99205,1,0.995,0.96422,0.33657,0.82608,0.82117,0.000932268,0.000932268,0.000932268
15,369.985,0.39086,0.63454,0.82813,0.97653,1,0.995,0.95059,0.36267,0.81153,0.81945,0.000918519,0.000918519,0.000918519
16,395.974,0.39854,0.64835,0.83809,0.97819,1,0.995,0.95226,0.34524,0.78308,0.8176,0.000904771,0.000904771,0.000904771
17,420.799,0.41443,0.66232,0.85238,0.98329,1,0.995,0.97393,0.28496,0.69086,0.80534,0.000891022,0.000891022,0.000891022
18,445.184,0.38257,0.62945,0.84103,0.97881,1,0.995,0.97425,0.28759,0.6993,0.80646,0.000877273,0.000877273,0.000877273
19,469.689,0.36961,0.60986,0.83027,0.98031,1,0.995,0.9749,0.28753,0.66883,0.80056,0.000863525,0.000863525,0.000863525
20,494.112,0.35042,0.59911,0.82655,0.98726,1,0.995,0.96607,0.265,0.60228,0.79665,0.000849776,0.000849776,0.000849776
21,518.289,0.33898,0.58998,0.83933,0.99398,1,0.995,0.95275,0.30155,0.61403,0.80762,0.000836027,0.000836027,0.000836027
22,542.792,0.34305,0.55992,0.83501,0.99679,1,0.995,0.96364,0.28482,0.62673,0.80581,0.000822279,0.000822279,0.000822279
23,567.004,0.32347,0.55417,0.82214,0.99728,1,0.995,0.96148,0.27444,0.5541,0.80178,0.00080853,0.00080853,0.00080853
24,591.069,0.33344,0.54912,0.84446,0.99747,1,0.995,0.97855,0.25709,0.54809,0.79759,0.000794782,0.000794782,0.000794782
25,615.64,0.32044,0.50764,0.82312,0.99714,1,0.995,0.96751,0.29,0.51624,0.80177,0.000781033,0.000781033,0.000781033
